category,video_id,total_frames,detected_frames,lost_frames,detection_percentage,missing_landmark_frames,invalid_value_frames,longest_lost_sequence,quality_status
General,S_v5,50,50,0,100.0,0,0,0,GOOD
General,s_v1,313,176,137,56.23,137,0,46,REVIEW
General,s_v2,558,381,177,68.28,177,0,44,REVIEW
General,s_v3,90,89,1,98.89,1,0,1,GOOD
General,s_v4,59,54,5,91.53,5,0,4,GOOD
General,s_v6,558,193,365,34.59,365,0,138,POOR
General,s_v7,108,76,32,70.37,32,0,30,REVIEW
U15,U15_v1,438,428,10,97.72,10,0,10,GOOD
U15,U15_v2,306,289,17,94.44,17,0,3,GOOD
U15,U15_v3,165,163,2,98.79,2,0,1,GOOD
U15,U15_v4,381,178,203,46.72,203,0,73,POOR
U15,U15_v5,110,82,28,74.55,28,0,23,REVIEW
U15,U15_v6,80,80,0,100.0,0,0,0,GOOD
U19,U19_v1,336,320,16,95.24,16,0,10,GOOD
U19,U19_v2,62,18,44,29.03,44,0,43,POOR
U19,U19_v3,90,69,21,76.67,21,0,20,ACCEPTABLE
U19,U19_v4,203,157,46,77.34,46,0,46,ACCEPTABLE
U19,U19_v5,110,94,16,85.45,16,0,3,ACCEPTABLE
U19,U19_v6,65,44,21,67.69,21,0,19,REVIEW
